Subbasin	Forest_Fraction	Pasture_Fraction	Hay_Fraction	Crop_Fraction	Swtchgrass_Fraction	Shrubland_Fraction	Barren_Fraction	Developed_Fraction	Wetlands_Fraction	Water_Fraction
1	62.483	23.282	5.779	0.449	0.209	0.062	0.035	6.358	0.001	1.342
2	69.608	19.012	3.849	0.234	1.597	1.365	0.015	4.175	0.001	0.145
3	37.042	20.558	2.223	27.489	0.000	0.003	0.095	7.619	3.650	1.322
4	41.578	25.232	0.513	0.127	6.754	0.050	0.029	25.477	0.000	0.241
5	30.141	36.828	0.431	0.088	10.308	0.028	0.016	20.348	0.002	1.810
6	44.671	28.662	1.764	0.621	5.087	0.047	0.032	17.136	0.001	1.978
7	58.238	9.065	1.809	6.259	0.021	0.020	0.062	2.309	2.894	19.323
8	79.029	8.019	3.010	0.472	0.045	0.381	0.314	6.709	0.003	2.019
9	63.513	16.099	0.640	0.223	2.858	0.186	0.122	15.591	0.001	0.768
10	60.380	16.474	4.490	0.404	7.874	0.010	1.123	7.503	0.001	1.742
11	49.170	22.400	0.797	0.402	8.909	0.082	0.435	11.377	0.015	6.413
12	65.309	17.592	2.495	0.106	4.234	0.076	0.217	7.815	0.001	2.155
13	60.452	20.971	2.299	1.234	7.541	0.300	0.091	6.890	0.005	0.216
14	64.837	11.005	1.401	6.312	0.779	0.144	0.057	4.204	3.858	7.401
15	44.993	20.416	0.303	0.649	7.298	0.555	2.995	7.115	0.011	15.665
16	44.218	28.670	1.135	1.295	9.716	0.038	0.131	13.663	0.027	1.107
17	65.204	7.819	0.101	0.050	2.124	0.088	0.000	21.131	0.063	3.419
18	70.784	12.863	0.334	0.229	5.383	0.157	0.030	9.709	0.007	0.504
19	50.459	16.520	0.194	0.034	7.196	0.009	0.082	23.117	0.059	2.329
20	59.296	17.369	0.039	0.021	7.673	0.013	0.139	12.501	0.524	2.424
21	68.898	13.774	0.221	0.193	6.671	0.209	0.282	8.781	0.019	0.951
22	64.515	9.675	0.051	0.030	4.725	0.012	0.076	18.388	0.623	1.904
23	81.851	3.311	3.771	1.391	0.921	0.385	0.028	8.157	0.004	0.180
24	50.749	12.176	0.680	0.832	5.765	0.147	0.036	26.225	0.034	3.356
25	76.339	10.078	0.636	3.562	3.051	0.037	0.006	2.432	1.864	1.995
26	59.576	15.792	1.568	2.237	8.098	2.780	0.021	6.471	0.066	3.390
27	74.351	4.019	5.163	2.821	1.020	0.239	0.050	11.983	0.005	0.349
28	52.099	17.040	1.457	1.498	8.339	1.922	0.250	9.824	0.103	7.467
29	65.242	18.404	2.032	2.226	5.668	0.225	0.019	5.733	0.044	0.408
30	90.541	0.834	1.181	0.956	0.202	0.336	0.034	5.178	0.003	0.733
31	87.757	1.390	1.798	1.174	0.543	0.518	0.056	4.905	0.018	1.842
32	87.586	3.416	0.451	0.309	1.732	0.596	0.004	3.265	0.017	2.625
33	38.652	36.182	1.989	4.722	9.744	1.122	0.044	7.206	0.082	0.256
34	42.563	27.260	1.523	6.285	9.791	1.341	0.025	8.716	1.098	1.396
35	47.802	19.793	1.697	1.061	8.690	4.198	0.111	14.173	0.473	2.003
36	63.921	12.788	3.102	4.762	1.443	4.504	0.068	3.981	2.988	2.444
37	64.768	14.071	1.328	2.226	6.827	3.364	0.034	6.742	0.098	0.542
38	69.613	13.911	1.478	2.802	5.437	2.244	0.017	4.000	0.136	0.361
39	84.342	0.940	3.324	1.379	0.507	0.336	0.100	6.579	0.007	2.485
40	57.420	15.850	1.029	3.761	10.051	4.931	0.044	6.421	0.234	0.258
41	45.970	19.411	1.512	12.166	6.744	1.291	0.037	8.027	0.798	4.044
42	55.509	16.801	1.621	0.681	8.101	3.534	0.133	7.844	0.479	5.298
43	58.950	3.794	10.948	0.624	1.104	2.394	0.114	21.504	0.185	0.383
44	90.061	0.913	1.770	0.159	0.518	0.238	0.045	4.767	0.014	1.514
45	65.821	14.086	1.782	1.560	8.312	2.522	0.048	5.493	0.212	0.165
46	76.772	6.644	0.501	2.410	3.599	2.371	0.039	5.882	0.431	1.351
47	71.335	3.749	2.980	0.376	0.696	1.969	0.114	15.175	0.217	3.389
48	45.331	32.846	2.543	4.702	7.121	1.374	0.015	5.763	0.081	0.225
49	44.705	16.665	0.874	9.311	2.475	12.326	0.124	5.305	6.108	2.107
50	48.162	15.530	2.448	7.345	1.815	9.379	0.087	8.826	1.194	5.215
51	39.653	26.867	2.394	11.332	4.216	4.897	0.022	6.468	1.747	2.404
52	46.698	29.153	3.110	5.435	7.921	1.227	0.009	5.308	0.275	0.864
53	37.828	25.522	1.938	12.284	2.235	3.525	0.068	10.549	2.810	3.242
54	59.371	12.539	0.902	2.072	2.592	13.483	0.116	5.506	0.569	2.849
55	49.646	25.428	2.189	5.301	1.552	3.309	0.042	5.986	0.824	5.722
