Subbasin	Sediment	OP_SP	TP	TN	NO3	Runoff	RC
1	18	0.041	0.165	6.603	6.2	412	0.36
2	75	0.092	0.31	4.485	4.276	444	0.38
3	382	0.618	1.734	8.45	6.739	402	0.30
4	238	0.297	0.843	7.074	6.617	615	0.47
5	239	0.29	0.851	5.783	5.293	585	0.45
6	151	0.168	0.504	4.928	4.624	474	0.41
7	277	0.523	1.258	1.53	0.596	481	0.34
8	253	0.211	0.939	3.12	2.205	506	0.40
9	252	0.268	0.899	4.095	3.494	510	0.40
10	154	0.654	1.136	3.34	2.815	486	0.34
11	732	0.486	2.209	3.901	2.566	445	0.35
12	274	1.444	2.137	4.129	3.364	478	0.37
13	474	0.992	2	3.041	1.537	619	0.41
14	365	0.569	1.701	2.734	1.402	483	0.35
15	325	0.198	1.171	2.604	1.911	552	0.42
16	429	0.596	1.764	2.619	1.842	335	0.26
17	451	0.488	2.224	7.53	5.376	683	0.49
18	2232	0.206	4.501	1.951	1.305	528	0.41
19	125	0.236	1.121	4.82	4.574	559	0.39
20	102	0.225	1.031	3.618	3.104	525	0.37
21	369	0.497	1.347	8.136	7.004	681	0.46
22	110	0.258	1.22	4.093	3.764	524	0.37
23	216	0.143	0.929	2.923	1.897	734	0.48
24	1533	0.302	3.697	8.291	7.903	698	0.50
25	186	0.442	1.006	4.694	3.933	574	0.41
26	1033	0.295	2.184	6.386	5.952	646	0.38
27	201	0.218	0.758	1.113	0.417	559	0.49
28	183	0.242	0.593	7.569	7.233	697	0.47
29	125	0.657	1.317	5.74	5.292	536	0.38
30	118	0.134	0.456	0.938	0.551	769	0.48
31	189	0.19	0.687	1.25	0.573	804	0.47
32	1669	0.27	3.043	2.034	1.498	641	0.37
33	62	2.872	3.033	20.813	20.668	598	0.41
34	96	0.359	0.855	11.834	11.504	604	0.42
35	118	0.241	1.194	3.598	3.356	448	0.32
36	114	0.31	0.781	3.508	3.157	586	0.40
37	163	0.142	0.639	3.918	3.785	608	0.39
38	202	1.456	2.25	2.916	2.007	563	0.37
39	61	0.112	0.536	2.548	2.407	574	0.37
40	172	0.251	0.778	3.512	2.997	695	0.44
41	117	0.19	0.587	15.346	15.033	625	0.41
42	102	0.121	0.661	2.589	2.443	457	0.32
43	156	0.167	1.082	2.389	2.195	534	0.38
44	199	0.146	0.664	1.624	1.186	748	0.48
45	351	0.315	1.052	5.958	5.119	663	0.41
46	198	0.191	0.586	3.613	3.068	830	0.50
47	119	0.107	0.996	1.411	1.258	513	0.36
48	105	0.213	0.851	16.449	16.202	610	0.40
49	104	0.314	0.859	5.578	5.189	535	0.37
50	99	0.08	0.627	4.475	4.333	540	0.38
51	96	0.097	0.565	9.356	9.198	551	0.37
52	251	0.919	1.772	19.114	18.152	638	0.40
53	614	0.537	2.143	10.985	9.222	655	0.45
54	78	0.144	0.626	0.948	0.751	499	0.33
55	119	0.114	0.505	5.921	5.671	590	0.41
