HUC8	PRECIP_mm	WYLD_mm	SYLD_kg_ha	TP1_kg_ha	TP2_kg_ha	TN_kg_ha	NO3_kg_ha	SPARROW_TN	SPARROW_TP	TN_RE	TP_RE
06010101	1164.99	443.81	75.00	0.09	0.31	4.48	4.28	4.89	0.22	-8.2	37.9
06010102	1173.30	461.11	88.66	0.12	0.37	6.22	5.83	6.38	0.48	-2.5	-23.7
06010103	1279.05	507.73	252.54	0.24	0.92	3.57	2.80	4.66	0.34	-23.3	168.1
06010104	1277.74	406.27	626.03	0.52	2.05	3.45	2.31	6.84	0.43	-49.5	380.9
06010105	1148.69	558.96	201.00	0.22	0.76	1.11	0.42	4.51	0.51	-75.3	49.4
06010106	1544.16	734.00	216.00	0.14	0.93	2.92	1.90	4.30	0.43	-32.0	117.4
06010107	1303.68	534.72	1715.33	0.20	3.60	2.13	1.47	5.57	0.45	-61.8	704.0
06010108	1496.02	619.11	474.00	0.99	2.00	3.04	1.54	5.60	0.40	-45.7	399.1
06010201	1439.40	697.41	822.05	0.27	2.06	7.91	7.55	9.32	0.97	-15.1	111.8
06010202	1701.77	804.29	189.00	0.19	0.69	1.25	0.57	3.48	0.31	-64.0	122.4
06010203	1610.52	768.60	118.00	0.13	0.46	0.94	0.55	3.34	0.23	-71.9	98.2
06010204	1714.26	642.97	1387.13	0.28	2.66	3.96	3.47	5.10	0.32	-22.3	722.9
06010205	1298.70	478.02	274.00	1.44	2.14	4.13	3.36	4.49	0.29	-8.0	631.2
06010206	1429.36	485.87	154.00	0.65	1.14	3.34	2.81	4.69	0.32	-28.8	255.6
06010207	1423.26	547.48	119.64	0.24	1.14	4.55	4.27	7.16	0.61	-36.4	87.7
06010208	1473.50	680.50	369.00	0.50	1.35	8.14	7.00	5.70	0.35	42.8	285.8
06020001	1421.19	495.94	123.51	0.13	0.88	2.22	2.06	10.10	1.07	-78.0	-17.8
06020002	1533.08	561.85	106.44	0.15	0.70	3.21	3.05	5.46	0.46	-41.1	51.4
06020003	1568.14	744.23	197.11	0.15	0.67	1.76	1.31	3.86	0.28	-54.5	136.8
06020004	1631.48	663.46	351.00	0.31	1.05	5.96	5.12	4.73	0.42	25.9	147.8
06030001	1468.98	612.04	126.27	0.12	0.51	5.71	5.43	9.48	0.50	-39.8	2.4
06030002	1446.18	654.78	614.00	0.54	2.14	10.98	9.22	8.91	1.01	23.2	111.2
06030003	1526.89	616.02	110.00	0.20	0.74	15.99	15.72	9.87	3.12	62.0	-76.2
06030004	1579.18	637.74	251.00	0.92	1.77	19.11	18.15	7.22	3.47	164.7	-48.9
06030005	1450.96	545.74	97.53	0.09	0.60	6.86	6.71	8.30	0.98	-17.3	-39.4
06030006	1502.12	499.48	78.00	0.14	0.63	0.95	0.75	6.01	0.38	-84.2	66.9
06040001	1464.70	577.95	112.50	0.31	0.79	3.82	3.46	5.52	0.78	-30.9	1.1
06040002	1446.83	600.04	73.45	2.03	2.30	17.79	17.58	7.44	2.83	139.0	-18.7
06040003	1415.55	539.92	131.79	0.63	1.28	5.62	5.14	5.67	2.40	-0.9	-46.7
06040004	1540.80	562.60	202.00	1.46	2.25	2.92	2.01	5.39	0.67	-45.9	236.0
06040005	1379.97	482.50	341.64	0.56	1.58	2.41	1.19	5.47	0.77	-55.9	106.1
06040006	1346.97	402.35	382.00	0.62	1.73	8.45	6.74	10.16	2.24	-16.8	-22.7
